address,price
"Rua Alfredo Jorel, Jardim Celeste",R$ 479.800
"Avenida Alberto Ramos, Vila Prudente",R$ 672.202
"Rua Jacarapinima, Parque Mandaqui",R$ 480.000
"Jardim Santa Terezinha, São Paulo",R$ 250.000
"Travessa Danilo Di Prete, Cohab Monet",R$ 275.000
"Rua do Símbolo, Vila Andrade",R$ 550.000
"Parque Mandaqui, São Paulo",R$ 580.000
"Rua André Lopes, Vila Renato",R$ 541.000
"Avenida Presidente Altino, Jaguaré",R$ 580.000
"Rua Jorge Americano, Lapa",R$ 3.700.000
"Rua República do Togo, Butantã",R$ 539.000
"Avenida Nove de Julho, Jardim Paulista",R$ 5.748.258
"Avenida Nove de Julho, Jardim Paulista",R$ 5.809.795
"Avenida Nove de Julho, Jardim Paulista",R$ 6.037.583
"Rua Jesuíno Arruda, Jardim Paulistano",R$ 307.000
"Rua Cristóvão Pereira, Campo Belo",R$ 590.000
"Rua Doutor Alfredo de Castro, Barra Funda",R$ 740.000
"Rua Itza, Jaçanã",R$ 320.000
"Rua Ilíria, Vila Moinho Velho",R$ 390.000
"Rua Malva-Isco, Vila Nova Curuçá",R$ 270.000
"Rua Estado do Amazonas, Jardim Imperador",R$ 259.800
"Rua Dirceu, Vila Formosa",R$ 265.000
"Rua Francisco José da Silva, Morumbi",R$ 620.000
"Rua Doutor Alcides de Campos, Americanópolis",R$ 240.000
"Rua Bela Bartok, Vila Adalgisa",R$ 540.000
"Rua Lomas Valentinas, Saúde",R$ 567.000
"Avenida Júlio Buono, Vila Gustavo",R$ 260.000
"Rua Geni, Vila do Encontro",R$ 429.000
"Rua Rio Verde, Vila Genioli",R$ 450.000
"Rua Marie Nader Calfat, Morumbi",R$ 450.000
"Rua Ernesto de Castro, Brás",R$ 540.600
"Rua Doutor Luiz Migliano, Morumbi",R$ 430.000
"Rua João Scatamacchia, Campo Grande",R$ 326.000
"Rua Heitor de Souza Pinheiro, Super Quadra",R$ 275.000
"Rua Clarindo, Vila Andrade",R$ 465.900
"Avenida Santo Albano, Vila Vera",R$ 460.000
"Rua Umburanas, Alto de Pinheiros",R$ 220.000
"Rua Jericino, Chácara Califórnia",R$ 1.300.000
"Avenida Sumaré, Jardim das Fontes",R$ 484.102
"Rua José de Oliveira Coelho, Morumbi",R$ 550.000
"Rua das Flechas, Jardim Prudência",R$ 740.000
"Rua João Simões de Souza, Morumbi",R$ 800.000
"Rua Colônia da Glória, Vila Mariana",R$ 590.000
"Vila Prudente, São Paulo",R$ 450.000
"Praça Francisco Sampaio Viana, Vila Guarani",R$ 550.000
"Avenida Doutor Ricardo Jafet, Vila Gumercindo",R$ 420.000
"Rua José Teixeira Barreto, Parque Ipê",R$ 229.000
"Avenida Venceslau de Queirós, Jaguaré",R$ 578.000
"Avenida Moema, Moema",R$ 460.000
"Rua Celso Ramos, Morumbi",R$ 420.000
"Rua Ettore Ximenes, Vila Prudente",R$ 655.000
"Rua Doutor Abelardo Vergueiro César, Vila Alexandria",R$ 564.000
"Jardim da Campina, São Paulo",R$ 810.000
"Avenida Coronel José Pires de Andrade, Vila Vera",R$ 315.000
"Rua João de Lacerda Soares, Jardim das Acacias",R$ 590.000
"Rua Capricho, Vila Nivi",R$ 420.000
"Avenida Águia de Haia, Jardim Soraia",R$ 379.989
"Rua Diogo de Quadros, Santo Amaro",R$ 855.000
"Parque Mandaqui, São Paulo",R$ 278.000
"Praça Júlio Mesquita, Santa Ifigênia",R$ 482.300
"Avenida Bosque da Saúde, Saúde",R$ 725.000
"Rua Rio Paraná, Vila Danúbio Azul",R$ 380.001
"Rua Professor Sousa Barros, Vila Guarani",R$ 579.000
"Rua Domingos Simões, Vila Suzana",R$ 950.000
"Rua Camarajé, Chácara do Encosto",R$ 430.000
"Rua Alto Beni, Vila Cosmopolita",R$ 195.000
"Rua Intendência, Brás",R$ 500.000
"Rua José Arzão, Vila Praia",R$ 488.000
"Rua Bernardo dos Santos, Jardim Olympia",R$ 1.290.000
"Rua Antônio Guarmerino, Cursino",R$ 249.700
"Avenida Bem-te-vi, Indianópolis",R$ 2.894.000
"Rua Chandless, Jardim Ana Maria",R$ 605.000
"Rua Doutor Caramuru Pais Leme, Jardim Maria Luiza",R$ 470.000
"Rua Vieira de Morais, Campo Belo",R$ 544.000
"Rua Cuiabá, Móoca",R$ 1.230.000
"Vila Santa Clara, São Paulo",R$ 600.000
"Rua Ramiro Barcelos, São Judas",R$ 399.000
"Avenida Doutor Ricardo Jafet, Ipiranga",R$ 513.195
"Rua Antônio Paulo de Almeida Prado, Ponte Rasa",R$ 490.000
"Barra Funda, São Paulo",R$ 588.000
"Avenida do Oratório, Jardim Guairaca",R$ 339.000
"Rua Malvina Ferrara Samarone, Vila Dom Pedro I",R$ 399.950
"Rua Eusébio da Costa Dourado, Jardim Santa Efigenia",R$ 299.000
"Rua Ângelo Calandrino, Jardim Guapira",R$ 289.000
"Rua Nicola Rollo, Vila Andrade",R$ 1.190.000
"Paraisópolis, São Paulo",R$ 315.000
"Avenida Jabaquara, Vila Monte Alegre",R$ 180.000
"Avenida Moema, Moema",R$ 850.000
"Brooklin, São Paulo",R$ 5.300.000
"Brás, São Paulo",R$ 179.300
"Rua Marquês de Valença, Alto da Mooca",R$ 694.000
"Rua Vieira de Almeida, Ipiranga",R$ 1.330.000
"Rua Doutor Carlos Aldrovandi, Jardim Parque Morumbi",R$ 375.000
"Rua Michigan, Itaim Bibi",R$ 530.000
"Rua Tapari, Vila Esperança",R$ 751.218
"Jardim Nove de Julho, São Paulo",R$ 215.000
"Avenida Santa Inês, Parque Mandaqui",R$ 650.000
"Vila Amália, São Paulo",R$ 370.000
"Rua Engenheiro Guilherme Cristiano Frender, Vila Antonieta",R$ 435.000
"Avenida Alexios Jafet, Jardim Ipanema",R$ 200.000
"Rua Juliano Moreira, Vila Diva",R$ 1.800.000
"Rua João Cachoeira, Itaim Bibi",R$ 600.000
"Rua Francisco Corazza, Lapa",R$ 550.000
"Rua Vicente Góes e Aranha, Vila Tramontano",R$ 510.817
"Rua Vergueiro, Sacomã",R$ 478.723
"Rua Sousa Breves, Vila Zilda Tatuape",R$ 799.000
"Rua da Chibata, Vila Andrade",R$ 565.000
"Rua Nossa Senhora do Bom Conselho, Chácara Nossa Senhora do Bom Conselho ",R$ 320.000
"Avenida Eliseu de Almeida, Vila Sônia",R$ 680.000
"Rua Demétrio Ribeiro, Cidade Mae Do Ceu",R$ 500.000
"Jardim Santa Terezinha, São Paulo",R$ 244.000
