address,price,date
"Rua Clemente Pereira, Ipiranga",R$ 850.000,2023-03-28
"Rua Jaguarete, Casa Verde",R$ 550.000,2023-03-28
"Tatuapé, São Paulo",R$ 529.520,2023-03-28
"Rua Cônego José Marinho, Vila Lageado",R$ 310.000,2023-03-28
"Rua Marcos Fernandes, Jardim da Saude",R$ 530.000,2023-03-28
"Rua Getúlio Soares da Rocha, Brooklin",R$ 1.840.000,2023-03-28
"Rua Horácio Vergueiro Rudge, Casa Verde",R$ 1.540.000,2023-03-28
"Rua Doutor Raul da Rocha Medeiros, Tatuapé",R$ 572.860,2023-03-28
"Rua Tapari, Penha",R$ 250.000,2023-03-28
"Rua Apiacás, Perdizes",R$ 2.700.000,2023-03-28
"Rua Manoel Cruz, Vila Ernesto",R$ 230.000,2023-03-28
"Avenida Doutor Francisco Mesquita, Jardim Ibitirama",R$ 314.000,2023-03-28
"Avenida Guarapiranga, Jardim das Flores",R$ 340.000,2023-03-28
