address,price,date
"Avenida Nove de Julho, Jardim Paulista",R$ 5.748.258,2023-03-27
"Avenida Nove de Julho, Jardim Paulista",R$ 5.809.795,2023-03-27
"Avenida Nove de Julho, Jardim Paulista",R$ 6.037.583,2023-03-27
"Avenida Marquês de São Vicente, Água Branca",R$ 1.199.000,2023-03-27
"Rua José da Silva Ribeiro, Vila Andrade",R$ 245.900,2023-03-27
"Rua Padre Chico, Perdizes",R$ 1.664.000,2023-03-27
"Rua Domingos Paiva, Brás",R$ 610.000,2023-03-27
"Rua Serra de Jairé, Móoca",R$ 355.000,2023-03-27
"Rua Itararé, Bela Vista",R$ 447.000,2023-03-27
"Rua Vitor Costa, Saúde",R$ 2.279.900,2023-03-27
"Vila Mazzei, São Paulo",R$ 355.000,2023-03-27
"Cidade Líder, São Paulo",R$ 325.000,2023-03-27
"Rua Santa Teresa de Ávila, Jardim São José",R$ 585.000,2023-03-27
"Rua Sousa Coutinho, Sacomã",R$ 334.000,2023-03-27
"Avenida Angélica, Higienópolis",R$ 283.941,2023-03-27
"Avenida Engenheiro Heitor Antônio Eiras Garcia, Butantã",R$ 500.000,2023-03-27
"Morumbi, São Paulo",R$ 475.000,2023-03-27
"Cangaíba, São Paulo",R$ 298.000,2023-03-27
"Rua Doutor Raul da Rocha Medeiros, Tatuapé",R$ 610.000,2023-03-27
"Rua Campos Novos, Vila Zelina",R$ 830.000,2023-03-27
"Rua Micronésia, Vila Quintana",R$ 550.000,2023-03-27
"Aclimação, São Paulo",R$ 405.000,2023-03-27
"Jardim Sao Mateus, São Paulo",R$ 350.000,2023-03-27
"Rua André Pujos, Jardim Celeste",R$ 295.000,2023-03-27
"Rua Professor Alexandre Correia, Jardim Vitoria Regia",R$ 1.700.000,2023-03-27
"Rua Miguel Pereira Landim, Parque Anhanguera Sao Domingos",R$ 300.000,2023-03-27
"Rua Mário Zanini, Jardim Pinheiros",R$ 275.000,2023-03-27
"Rua Cordova, Parque Sevilha",R$ 680.000,2023-03-27
"Rua Professor Arnaldo João Semeraro, Jardim Santa Emília",R$ 250.000,2023-03-27
"Cidade Patriarca, São Paulo",R$ 245.000,2023-03-27
"Rua Gaivota, Moema",R$ 509.500,2023-03-27
"Jardim Umarizal, São Paulo",R$ 228.000,2023-03-27
"Rua Ibiti, Vila Prq",R$ 530.000,2023-03-27
"Rua Mesquita, Jardim da Glória",R$ 496.900,2023-03-27
"Rua Copacabana, Santana",R$ 2.650.000,2023-03-27
"Vila Gustavo, São Paulo",R$ 530.500,2023-03-27
"Avenida Parada Pinto, Vila Nova Cachoeirinha",R$ 270.000,2023-03-27
"Casa Verde, São Paulo",R$ 500.000,2023-03-27
"Rua José Rafaeli, Capela do Socorro",R$ 257.000,2023-03-27
