address,price,date
"Rua Antônio Covello, Jabaquara",R$ 550.000,2023-03-27
"Rua dos Democratas, São Judas",R$ 466.900,2023-03-27
"Vila Marieta, São Paulo",R$ 290.001,2023-03-27
"Pirituba, São Paulo",R$ 615.000,2023-03-27
"Alameda Barros, Santa Cecília",R$ 1.350.000,2023-03-27
"Jardim Luanda, São Paulo",R$ 440.000,2023-03-27
"Avenida Mascote, Vila Mascote",R$ 490.000,2023-03-27
"Rua Marquês de Lages, Vila das Mercês",R$ 295.000,2023-03-27
"Rua Francisco Valente, Jardim Ester Yolanda",R$ 430.000,2023-03-27
"Rua Peixoto, Vila Buenos Aires",R$ 530.000,2023-03-27
"Travessa José Rolon, Fazenda da Juta",R$ 250.000,2023-03-27
"Vila Andrade, São Paulo",R$ 292.000,2023-03-27
"Avenida Marginal Esquerda Anchieta, Vila Arapuã",R$ 350.000,2023-03-27
"Rua Doutor José de Andrade Figueira, Vila Suzana",R$ 750.000,2023-03-27
"Vila Aurora, São Paulo",R$ 370.000,2023-03-27
"Rua Florêncio Varela, Conjunto Residencial José Bonifácio",R$ 180.000,2023-03-27
"Rua Nicola Rollo, Vila Andrade",R$ 1.250.000,2023-03-27
"Avenida Padre Arlindo Vieira, Vila Vermelha",R$ 500.000,2023-03-27
"Rua Malva Rosa, Altos de Vila Prudente",R$ 540.000,2023-03-27
"Avenida Professor Gióia Martins, Jardim Monte Kemel",R$ 650.000,2023-03-27
"Rua Saint Albans, Jardim Itatiaia",R$ 187.200,2023-03-27
"Vila Roque, São Paulo",R$ 209.500,2023-03-27
"Rua George Pilli, Vila Cavaton",R$ 680.000,2023-03-27
"Rua Gomes de Carvalho, Vila Olímpia",R$ 2.290.000,2023-03-27
"Avenida Coronel Sezefredo Fagundes, Jardim Francisco Mendes",R$ 199.999,2023-03-27
"Rua Amazonas da Silva, Vila Guilherme",R$ 720.000,2023-03-27
"Avenida Vereador José Diniz, Campo Belo",R$ 2.101.000,2023-03-27
"Lauzane Paulista, São Paulo",R$ 320.000,2023-03-27
"Rua Dona Cecília Santana, Vila Granada",R$ 570.000,2023-03-27
"Rua Ordenações Manuelinas, Vila Morse",R$ 660.000,2023-03-27
"Rua Oswaldo Nascimento, Jardim Vieira",R$ 265.000,2023-03-27
"Rua Vinte e Dois de Agosto, Vila Bela Vista",R$ 290.000,2023-03-27
"Rua Miguel Petrilli, Jaragua",R$ 315.000,2023-03-27
"Rua Engenheiro Guilherme Cristiano Frender, Vila Antonieta",R$ 350.000,2023-03-27
"Rua Simpatia, Vila Madalena",R$ 2.550.000,2023-03-27
"Rua Estevão Baião, Vila Congonhas",R$ 1.390.000,2023-03-27
"Avenida Guilherme Mankel, Vila Clarice",R$ 236.000,2023-03-27
"Avenida dos Ourives, Jardim São Savério",R$ 230.000,2023-03-27
"Vila Barreto, São Paulo",R$ 579.000,2023-03-27
"Rua Francisco da Cruz Mellão, Parque Munhoz",R$ 328.000,2023-03-27
"Jardim Ampliação, São Paulo",R$ 550.000,2023-03-27
"Rua Croata, Vila Ipojuca",R$ 810.000,2023-03-27
"Avenida Santa Marina, Água Branca",R$ 567.000,2023-03-27
"Rua Frederico Lecor, Jardim Mutinga",R$ 650.000,2023-03-27
"Rua Ibitinga, Móoca",R$ 1.600.000,2023-03-27
"Tatuapé, São Paulo",R$ 975.000,2023-03-27
"Rua Francisco Felippe Agosti, Vila Inglesa",R$ 315.000,2023-03-27
"Travessa das Nações, Vila das Mercês",R$ 650.000,2023-03-27
"Cangaíba, São Paulo",R$ 240.000,2023-03-27
"Rua Nicolau Tolentino de Almeida, Vila Dionísia",R$ 255.319,2023-03-27
"Avenida Alexios Jafet, Jardim Ipanema",R$ 249.000,2023-03-27
"Rua Lavras do Sul, Vila Carolina",R$ 645.000,2023-03-27
"Avenida Raimundo Pereira de Magalhães, Vila Anastácio",R$ 1.700.000,2023-03-27
"Rua Vergueiro, Ipiranga",R$ 580.000,2023-03-27
"Rua Bento Branco de Andrade Filho, Santo Amaro",R$ 1.199.990,2023-03-27
"Rua Professor Arnaldo João Semeraro, Jardim Santa Emília",R$ 295.000,2023-03-27
"Avenida Celso Garcia, Belenzinho",R$ 310.000,2023-03-27
"Jardim Modelo, São Paulo",R$ 365.000,2023-03-27
"Rua Alegria, Brás",R$ 695.000,2023-03-27
"Avenida Álvaro Machado Pedrosa, Parada Inglesa",R$ 1.400.000,2023-03-27
"Avenida Miguel Frias e Vasconcelos, Jaguaré",R$ 498.000,2023-03-27
