address,price,date
"Rua Doutor Orlando Zamiti Mammana 81
Santana, São Paulo",R$ 820.000,2023-03-27
"Rua José Alves de Almeida 130
Sacomã, São Paulo",R$ 345.000,2023-03-27
"Rua Hamilton Prado 480
Chácara Belenzinho, São Paulo",R$ 265.960,2023-03-27
"Rua Miguel Sevílio 49
Rio Pequeno, São Paulo",R$ 410.000,2023-03-27
"avenida do rio pequeno salas comerciais
Rio Pequeno, São Paulo",R$ 1.100.000,2023-03-27
"Avenida Benedito de Lima 218
Butantã, São Paulo",R$ 580.000,2023-03-27
"Rua Barao da Passagem 860
Vila Leopoldina, São Paulo",R$ 3.300.000,2023-03-27
"Rua São Benedito
Alto da Boa Vista, São Paulo",R$ 265.000,2023-03-27
"Jardim Colibri, São Paulo",R$ 480.000,2023-03-27
"AV Iraí
Indianópolis, São Paulo",R$ 1.700.000,2023-03-27
"Rio Pequeno, São Paulo",R$ 300.000,2023-03-27
"Avenida Diogo Gomes Carneiro 400
Butantã, São Paulo",R$ 760.000,2023-03-27
"RUA JOSE MENDES JUNIOR, 291
Vila Matilde, São Paulo",R$ 990.000,2023-03-27
"Rua ANTONIO DE GOUVEIA GIUDICE
Alto de Pinheiros, São Paulo",R$ 4.850.000,2023-03-27
"Jardim Bonfiglioli, São Paulo",R$ 660.000,2023-03-27
