address,price
"Rua Alfredo Jorel, Jardim Celeste",R$ 479.800
"Avenida Alberto Ramos, Vila Prudente",R$ 672.202
"Rua Jacarapinima, Parque Mandaqui",R$ 480.000
"Jardim Santa Terezinha, São Paulo",R$ 250.000
"Travessa Danilo Di Prete, Cohab Monet",R$ 275.000
"Rua do Símbolo, Vila Andrade",R$ 550.000
"Parque Mandaqui, São Paulo",R$ 580.000
"Rua André Lopes, Vila Renato",R$ 541.000
"Avenida Presidente Altino, Jaguaré",R$ 580.000
"Rua Jorge Americano, Lapa",R$ 3.700.000
"Rua República do Togo, Butantã",R$ 539.000
